GFLOPs (@1GHz),Utilization,Cycles,Energy,EDP(J*cycle),Area,mac,psum_spad,weights_spad,ifmap_spad,shared_glb,DRAM,Total,Layer Number,Name,Group,Residual Block Number,Mamba Block,Layer Type,C,G,M,N,P,Q,R,S
16.00,4.76%,2097152,1120.29,2.35e+03,0.00,207.69,470.41,1930.72,106.84,19.54,64039.06,66774.27,215,layers_43_mixer_in_proj,layers,43.0,mixer,in_proj,2048,1,8192,1,1,1,1,1
28.00,9.52%,13312,9.89,1.32e-01,0.00,207.69,219.54,1934.30,189.91,3258.91,40615.38,46425.73,216,layers_43_mixer_conv1d,layers,43.0,mixer,conv1d,1,4096,1,1,1,13,1,4
20.00,5.95%,65536,44.04,2.89e+00,0.00,207.69,470.52,1930.72,112.37,69.85,64415.62,67206.78,217,layers_43_mixer_x_proj,layers,43.0,mixer,x_proj,4096,1,160,1,1,1,1,1
15.94,4.76%,65536,35.25,2.31e+00,0.00,207.69,454.83,1930.72,101.34,15.50,64515.62,67225.71,218,layers_43_mixer_dt_proj,layers,43.0,mixer,dt_proj,128,1,4096,1,1,1,1,1
16.00,4.76%,1048576,560.21,5.87e+02,0.00,207.69,470.47,1930.72,106.84,19.76,64046.88,66782.36,219,layers_43_mixer_out_proj,layers,43.0,mixer,out_proj,4096,1,2048,1,1,1,1,1
16.00,4.76%,2097152,1120.29,2.35e+03,0.00,207.69,470.41,1930.72,106.84,19.54,64039.06,66774.27,220,layers_44_mixer_in_proj,layers,44.0,mixer,in_proj,2048,1,8192,1,1,1,1,1
28.00,9.52%,13312,9.89,1.32e-01,0.00,207.69,219.54,1934.30,189.91,3258.91,40615.38,46425.73,221,layers_44_mixer_conv1d,layers,44.0,mixer,conv1d,1,4096,1,1,1,13,1,4
20.00,5.95%,65536,44.04,2.89e+00,0.00,207.69,470.52,1930.72,112.37,69.85,64415.62,67206.78,222,layers_44_mixer_x_proj,layers,44.0,mixer,x_proj,4096,1,160,1,1,1,1,1
15.94,4.76%,65536,35.25,2.31e+00,0.00,207.69,454.83,1930.72,101.34,15.50,64515.62,67225.71,223,layers_44_mixer_dt_proj,layers,44.0,mixer,dt_proj,128,1,4096,1,1,1,1,1
16.00,4.76%,1048576,560.21,5.87e+02,0.00,207.69,470.47,1930.72,106.84,19.76,64046.88,66782.36,224,layers_44_mixer_out_proj,layers,44.0,mixer,out_proj,4096,1,2048,1,1,1,1,1
16.00,4.76%,2097152,1120.29,2.35e+03,0.00,207.69,470.41,1930.72,106.84,19.54,64039.06,66774.27,225,layers_45_mixer_in_proj,layers,45.0,mixer,in_proj,2048,1,8192,1,1,1,1,1
28.00,9.52%,13312,9.89,1.32e-01,0.00,207.69,219.54,1934.30,189.91,3258.91,40615.38,46425.73,226,layers_45_mixer_conv1d,layers,45.0,mixer,conv1d,1,4096,1,1,1,13,1,4
20.00,5.95%,65536,44.04,2.89e+00,0.00,207.69,470.52,1930.72,112.37,69.85,64415.62,67206.78,227,layers_45_mixer_x_proj,layers,45.0,mixer,x_proj,4096,1,160,1,1,1,1,1
15.94,4.76%,65536,35.25,2.31e+00,0.00,207.69,454.83,1930.72,101.34,15.50,64515.62,67225.71,228,layers_45_mixer_dt_proj,layers,45.0,mixer,dt_proj,128,1,4096,1,1,1,1,1
16.00,4.76%,1048576,560.21,5.87e+02,0.00,207.69,470.47,1930.72,106.84,19.76,64046.88,66782.36,229,layers_45_mixer_out_proj,layers,45.0,mixer,out_proj,4096,1,2048,1,1,1,1,1
16.00,4.76%,2097152,1120.29,2.35e+03,0.00,207.69,470.41,1930.72,106.84,19.54,64039.06,66774.27,230,layers_46_mixer_in_proj,layers,46.0,mixer,in_proj,2048,1,8192,1,1,1,1,1
28.00,9.52%,13312,9.89,1.32e-01,0.00,207.69,219.54,1934.30,189.91,3258.91,40615.38,46425.73,231,layers_46_mixer_conv1d,layers,46.0,mixer,conv1d,1,4096,1,1,1,13,1,4
20.00,5.95%,65536,44.04,2.89e+00,0.00,207.69,470.52,1930.72,112.37,69.85,64415.62,67206.78,232,layers_46_mixer_x_proj,layers,46.0,mixer,x_proj,4096,1,160,1,1,1,1,1
15.94,4.76%,65536,35.25,2.31e+00,0.00,207.69,454.83,1930.72,101.34,15.50,64515.62,67225.71,233,layers_46_mixer_dt_proj,layers,46.0,mixer,dt_proj,128,1,4096,1,1,1,1,1
16.00,4.76%,1048576,560.21,5.87e+02,0.00,207.69,470.47,1930.72,106.84,19.76,64046.88,66782.36,234,layers_46_mixer_out_proj,layers,46.0,mixer,out_proj,4096,1,2048,1,1,1,1,1
16.00,4.76%,2097152,1120.29,2.35e+03,0.00,207.69,470.41,1930.72,106.84,19.54,64039.06,66774.27,235,layers_47_mixer_in_proj,layers,47.0,mixer,in_proj,2048,1,8192,1,1,1,1,1
28.00,9.52%,13312,9.89,1.32e-01,0.00,207.69,219.54,1934.30,189.91,3258.91,40615.38,46425.73,236,layers_47_mixer_conv1d,layers,47.0,mixer,conv1d,1,4096,1,1,1,13,1,4
20.00,5.95%,65536,44.04,2.89e+00,0.00,207.69,470.52,1930.72,112.37,69.85,64415.62,67206.78,237,layers_47_mixer_x_proj,layers,47.0,mixer,x_proj,4096,1,160,1,1,1,1,1
15.94,4.76%,65536,35.25,2.31e+00,0.00,207.69,454.83,1930.72,101.34,15.50,64515.62,67225.71,238,layers_47_mixer_dt_proj,layers,47.0,mixer,dt_proj,128,1,4096,1,1,1,1,1
16.00,4.76%,1048576,560.21,5.87e+02,0.00,207.69,470.47,1930.72,106.84,19.76,64046.88,66782.36,239,layers_47_mixer_out_proj,layers,47.0,mixer,out_proj,4096,1,2048,1,1,1,1,1
23.99,7.14%,8581120,6882.47,5.91e+04,0.00,207.69,470.29,1930.72,118.99,77.14,64032.52,66837.35,240,lm_head,lm,,,head,2048,1,50280,1,1,1,1,1
