GFLOPs (@1GHz),Utilization,Cycles,Energy,EDP(J*cycle),Area,mac,psum_spad,weights_spad,ifmap_spad,shared_glb,DRAM,Total,Layer Number,Name,Group,Residual Block Number,Mamba Block,Layer Type,C,G,M,N,P,Q,R,S
23.98,7.14%,196608,157.72,3.10e+01,0.00,207.69,470.21,1930.72,112.37,27.02,64104.17,66852.18,010,layers_2_mixer_in_proj,layers,2.0,mixer,in_proj,768,1,3072,1,1,1,1,1
23.98,7.14%,196608,157.72,3.10e+01,0.00,207.69,470.21,1930.72,112.37,27.02,64104.17,66852.18,030,layers_6_mixer_in_proj,layers,6.0,mixer,in_proj,768,1,3072,1,1,1,1,1
23.99,7.14%,10240,8.31,8.51e-02,0.00,207.69,480.55,1930.72,102.43,70.54,64841.67,67633.60,047,layers_9_mixer_x_proj,layers,9.0,mixer,x_proj,1536,1,80,1,1,1,1,1
23.99,7.14%,10240,8.31,8.51e-02,0.00,207.69,480.55,1930.72,102.43,70.54,64841.67,67633.60,067,layers_13_mixer_x_proj,layers,13.0,mixer,x_proj,1536,1,80,1,1,1,1,1
23.99,7.14%,98304,78.87,7.75e+00,0.00,207.69,470.37,1930.72,106.84,15.76,64125.00,66856.39,084,layers_16_mixer_out_proj,layers,16.0,mixer,out_proj,1536,1,768,1,1,1,1,1
23.98,7.14%,196608,157.72,3.10e+01,0.00,207.69,470.21,1930.72,112.37,27.02,64104.17,66852.18,085,layers_17_mixer_in_proj,layers,17.0,mixer,in_proj,768,1,3072,1,1,1,1,1
23.75,7.14%,6144,5.02,3.09e-02,0.00,207.69,454.83,1930.72,101.55,39.92,65375.00,68109.71,088,layers_17_mixer_dt_proj,layers,17.0,mixer,dt_proj,48,1,1536,1,1,1,1,1
23.99,7.14%,10240,8.31,8.51e-02,0.00,207.69,480.55,1930.72,102.43,70.54,64841.67,67633.60,092,layers_18_mixer_x_proj,layers,18.0,mixer,x_proj,1536,1,80,1,1,1,1,1
23.75,7.14%,6144,5.02,3.09e-02,0.00,207.69,454.83,1930.72,101.55,39.92,65375.00,68109.71,093,layers_18_mixer_dt_proj,layers,18.0,mixer,dt_proj,48,1,1536,1,1,1,1,1
23.99,7.14%,10240,8.31,8.51e-02,0.00,207.69,480.55,1930.72,102.43,70.54,64841.67,67633.60,102,layers_20_mixer_x_proj,layers,20.0,mixer,x_proj,1536,1,80,1,1,1,1,1
23.99,7.14%,98304,78.87,7.75e+00,0.00,207.69,470.37,1930.72,106.84,15.76,64125.00,66856.39,114,layers_22_mixer_out_proj,layers,22.0,mixer,out_proj,1536,1,768,1,1,1,1,1
23.75,7.14%,6144,5.02,3.09e-02,0.00,207.69,454.83,1930.72,101.55,39.92,65375.00,68109.71,118,layers_23_mixer_dt_proj,layers,23.0,mixer,dt_proj,48,1,1536,1,1,1,1,1
