GFLOPs (@1GHz),Utilization,Cycles,Energy,EDP(J*cycle),Area,Layer Number,Name,Group,Residual Block Number,Mamba Block,Layer Type,C,G,M,N,P,Q,R,S
15.99,4.76%,524288,280.24,1.47e+02,0.00,175,layers_35_mixer_in_proj,layers,35.0,mixer,in_proj,1024,1,4096,1,1,1,1,1
28.00,9.52%,6656,4.94,3.29e-02,0.00,176,layers_35_mixer_conv1d,layers,35.0,mixer,conv1d,1,2048,1,1,1,13,1,4
23.99,7.14%,16384,13.27,2.17e-01,0.00,177,layers_35_mixer_x_proj,layers,35.0,mixer,x_proj,2048,1,96,1,1,1,1,1
15.88,4.76%,16384,8.88,1.45e-01,0.00,178,layers_35_mixer_dt_proj,layers,35.0,mixer,dt_proj,64,1,2048,1,1,1,1,1
16.00,4.76%,262144,140.16,3.67e+01,0.00,179,layers_35_mixer_out_proj,layers,35.0,mixer,out_proj,2048,1,1024,1,1,1,1,1
15.99,4.76%,524288,280.24,1.47e+02,0.00,180,layers_36_mixer_in_proj,layers,36.0,mixer,in_proj,1024,1,4096,1,1,1,1,1
28.00,9.52%,6656,4.94,3.29e-02,0.00,181,layers_36_mixer_conv1d,layers,36.0,mixer,conv1d,1,2048,1,1,1,13,1,4
23.99,7.14%,16384,13.27,2.17e-01,0.00,182,layers_36_mixer_x_proj,layers,36.0,mixer,x_proj,2048,1,96,1,1,1,1,1
15.88,4.76%,16384,8.88,1.45e-01,0.00,183,layers_36_mixer_dt_proj,layers,36.0,mixer,dt_proj,64,1,2048,1,1,1,1,1
16.00,4.76%,262144,140.16,3.67e+01,0.00,184,layers_36_mixer_out_proj,layers,36.0,mixer,out_proj,2048,1,1024,1,1,1,1,1
15.99,4.76%,524288,280.24,1.47e+02,0.00,185,layers_37_mixer_in_proj,layers,37.0,mixer,in_proj,1024,1,4096,1,1,1,1,1
28.00,9.52%,6656,4.94,3.29e-02,0.00,186,layers_37_mixer_conv1d,layers,37.0,mixer,conv1d,1,2048,1,1,1,13,1,4
23.99,7.14%,16384,13.27,2.17e-01,0.00,187,layers_37_mixer_x_proj,layers,37.0,mixer,x_proj,2048,1,96,1,1,1,1,1
15.88,4.76%,16384,8.88,1.45e-01,0.00,188,layers_37_mixer_dt_proj,layers,37.0,mixer,dt_proj,64,1,2048,1,1,1,1,1
16.00,4.76%,262144,140.16,3.67e+01,0.00,189,layers_37_mixer_out_proj,layers,37.0,mixer,out_proj,2048,1,1024,1,1,1,1,1
15.99,4.76%,524288,280.24,1.47e+02,0.00,190,layers_38_mixer_in_proj,layers,38.0,mixer,in_proj,1024,1,4096,1,1,1,1,1
28.00,9.52%,6656,4.94,3.29e-02,0.00,191,layers_38_mixer_conv1d,layers,38.0,mixer,conv1d,1,2048,1,1,1,13,1,4
23.99,7.14%,16384,13.27,2.17e-01,0.00,192,layers_38_mixer_x_proj,layers,38.0,mixer,x_proj,2048,1,96,1,1,1,1,1
15.88,4.76%,16384,8.88,1.45e-01,0.00,193,layers_38_mixer_dt_proj,layers,38.0,mixer,dt_proj,64,1,2048,1,1,1,1,1
16.00,4.76%,262144,140.16,3.67e+01,0.00,194,layers_38_mixer_out_proj,layers,38.0,mixer,out_proj,2048,1,1024,1,1,1,1,1
15.99,4.76%,524288,280.24,1.47e+02,0.00,195,layers_39_mixer_in_proj,layers,39.0,mixer,in_proj,1024,1,4096,1,1,1,1,1
28.00,9.52%,6656,4.94,3.29e-02,0.00,196,layers_39_mixer_conv1d,layers,39.0,mixer,conv1d,1,2048,1,1,1,13,1,4
23.99,7.14%,16384,13.27,2.17e-01,0.00,197,layers_39_mixer_x_proj,layers,39.0,mixer,x_proj,2048,1,96,1,1,1,1,1
15.88,4.76%,16384,8.88,1.45e-01,0.00,198,layers_39_mixer_dt_proj,layers,39.0,mixer,dt_proj,64,1,2048,1,1,1,1,1
16.00,4.76%,262144,140.16,3.67e+01,0.00,199,layers_39_mixer_out_proj,layers,39.0,mixer,out_proj,2048,1,1024,1,1,1,1,1
15.99,4.76%,524288,280.24,1.47e+02,0.00,200,layers_40_mixer_in_proj,layers,40.0,mixer,in_proj,1024,1,4096,1,1,1,1,1
28.00,9.52%,6656,4.94,3.29e-02,0.00,201,layers_40_mixer_conv1d,layers,40.0,mixer,conv1d,1,2048,1,1,1,13,1,4
23.99,7.14%,16384,13.27,2.17e-01,0.00,202,layers_40_mixer_x_proj,layers,40.0,mixer,x_proj,2048,1,96,1,1,1,1,1
15.88,4.76%,16384,8.88,1.45e-01,0.00,203,layers_40_mixer_dt_proj,layers,40.0,mixer,dt_proj,64,1,2048,1,1,1,1,1
16.00,4.76%,262144,140.16,3.67e+01,0.00,204,layers_40_mixer_out_proj,layers,40.0,mixer,out_proj,2048,1,1024,1,1,1,1,1
15.99,4.76%,524288,280.24,1.47e+02,0.00,205,layers_41_mixer_in_proj,layers,41.0,mixer,in_proj,1024,1,4096,1,1,1,1,1
28.00,9.52%,6656,4.94,3.29e-02,0.00,206,layers_41_mixer_conv1d,layers,41.0,mixer,conv1d,1,2048,1,1,1,13,1,4
23.99,7.14%,16384,13.27,2.17e-01,0.00,207,layers_41_mixer_x_proj,layers,41.0,mixer,x_proj,2048,1,96,1,1,1,1,1
15.88,4.76%,16384,8.88,1.45e-01,0.00,208,layers_41_mixer_dt_proj,layers,41.0,mixer,dt_proj,64,1,2048,1,1,1,1,1
16.00,4.76%,262144,140.16,3.67e+01,0.00,209,layers_41_mixer_out_proj,layers,41.0,mixer,out_proj,2048,1,1024,1,1,1,1,1
15.99,4.76%,524288,280.24,1.47e+02,0.00,210,layers_42_mixer_in_proj,layers,42.0,mixer,in_proj,1024,1,4096,1,1,1,1,1
28.00,9.52%,6656,4.94,3.29e-02,0.00,211,layers_42_mixer_conv1d,layers,42.0,mixer,conv1d,1,2048,1,1,1,13,1,4
23.99,7.14%,16384,13.27,2.17e-01,0.00,212,layers_42_mixer_x_proj,layers,42.0,mixer,x_proj,2048,1,96,1,1,1,1,1
15.88,4.76%,16384,8.88,1.45e-01,0.00,213,layers_42_mixer_dt_proj,layers,42.0,mixer,dt_proj,64,1,2048,1,1,1,1,1
16.00,4.76%,262144,140.16,3.67e+01,0.00,214,layers_42_mixer_out_proj,layers,42.0,mixer,out_proj,2048,1,1024,1,1,1,1,1
15.99,4.76%,524288,280.24,1.47e+02,0.00,215,layers_43_mixer_in_proj,layers,43.0,mixer,in_proj,1024,1,4096,1,1,1,1,1
28.00,9.52%,6656,4.94,3.29e-02,0.00,216,layers_43_mixer_conv1d,layers,43.0,mixer,conv1d,1,2048,1,1,1,13,1,4
23.99,7.14%,16384,13.27,2.17e-01,0.00,217,layers_43_mixer_x_proj,layers,43.0,mixer,x_proj,2048,1,96,1,1,1,1,1
15.88,4.76%,16384,8.88,1.45e-01,0.00,218,layers_43_mixer_dt_proj,layers,43.0,mixer,dt_proj,64,1,2048,1,1,1,1,1
16.00,4.76%,262144,140.16,3.67e+01,0.00,219,layers_43_mixer_out_proj,layers,43.0,mixer,out_proj,2048,1,1024,1,1,1,1,1
15.99,4.76%,524288,280.24,1.47e+02,0.00,220,layers_44_mixer_in_proj,layers,44.0,mixer,in_proj,1024,1,4096,1,1,1,1,1
28.00,9.52%,6656,4.94,3.29e-02,0.00,221,layers_44_mixer_conv1d,layers,44.0,mixer,conv1d,1,2048,1,1,1,13,1,4
23.99,7.14%,16384,13.27,2.17e-01,0.00,222,layers_44_mixer_x_proj,layers,44.0,mixer,x_proj,2048,1,96,1,1,1,1,1
15.88,4.76%,16384,8.88,1.45e-01,0.00,223,layers_44_mixer_dt_proj,layers,44.0,mixer,dt_proj,64,1,2048,1,1,1,1,1
16.00,4.76%,262144,140.16,3.67e+01,0.00,224,layers_44_mixer_out_proj,layers,44.0,mixer,out_proj,2048,1,1024,1,1,1,1,1
15.99,4.76%,524288,280.24,1.47e+02,0.00,225,layers_45_mixer_in_proj,layers,45.0,mixer,in_proj,1024,1,4096,1,1,1,1,1
28.00,9.52%,6656,4.94,3.29e-02,0.00,226,layers_45_mixer_conv1d,layers,45.0,mixer,conv1d,1,2048,1,1,1,13,1,4
23.99,7.14%,16384,13.27,2.17e-01,0.00,227,layers_45_mixer_x_proj,layers,45.0,mixer,x_proj,2048,1,96,1,1,1,1,1
15.88,4.76%,16384,8.88,1.45e-01,0.00,228,layers_45_mixer_dt_proj,layers,45.0,mixer,dt_proj,64,1,2048,1,1,1,1,1
16.00,4.76%,262144,140.16,3.67e+01,0.00,229,layers_45_mixer_out_proj,layers,45.0,mixer,out_proj,2048,1,1024,1,1,1,1,1
15.99,4.76%,524288,280.24,1.47e+02,0.00,230,layers_46_mixer_in_proj,layers,46.0,mixer,in_proj,1024,1,4096,1,1,1,1,1
28.00,9.52%,6656,4.94,3.29e-02,0.00,231,layers_46_mixer_conv1d,layers,46.0,mixer,conv1d,1,2048,1,1,1,13,1,4
23.99,7.14%,16384,13.27,2.17e-01,0.00,232,layers_46_mixer_x_proj,layers,46.0,mixer,x_proj,2048,1,96,1,1,1,1,1
15.88,4.76%,16384,8.88,1.45e-01,0.00,233,layers_46_mixer_dt_proj,layers,46.0,mixer,dt_proj,64,1,2048,1,1,1,1,1
16.00,4.76%,262144,140.16,3.67e+01,0.00,234,layers_46_mixer_out_proj,layers,46.0,mixer,out_proj,2048,1,1024,1,1,1,1,1
15.99,4.76%,524288,280.24,1.47e+02,0.00,235,layers_47_mixer_in_proj,layers,47.0,mixer,in_proj,1024,1,4096,1,1,1,1,1
28.00,9.52%,6656,4.94,3.29e-02,0.00,236,layers_47_mixer_conv1d,layers,47.0,mixer,conv1d,1,2048,1,1,1,13,1,4
23.99,7.14%,16384,13.27,2.17e-01,0.00,237,layers_47_mixer_x_proj,layers,47.0,mixer,x_proj,2048,1,96,1,1,1,1,1
15.88,4.76%,16384,8.88,1.45e-01,0.00,238,layers_47_mixer_dt_proj,layers,47.0,mixer,dt_proj,64,1,2048,1,1,1,1,1
16.00,4.76%,262144,140.16,3.67e+01,0.00,239,layers_47_mixer_out_proj,layers,47.0,mixer,out_proj,2048,1,1024,1,1,1,1,1
23.99,7.14%,4290560,3444.08,1.48e+04,0.00,240,lm_head,lm,,,head,1024,1,50280,1,1,1,1,1
